cell_type,tissue,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,pct_markers_in_deg,p_adjust,significant,neg_log10_p
Endodermis,root,leaf_int_up,105,1396,2728,0.5509077330284178,0.9999999998009408,7.521489971346705,1.0,False,-0.0
Meristematic_Cortex,root,leaf_int_up,118,1723,2728,0.4916279347346057,0.9999999999999996,6.848520023215322,1.0,False,-0.0
Meristematic_Zone,root,leaf_int_up,103,1112,2728,0.7018913587238662,0.9998037110775423,9.262589928057555,1.0,False,-0.0
Phloem,root,leaf_int_up,111,1483,2728,0.5467575206293009,0.9999999999617213,7.484828051247471,1.0,False,-0.0
Vascular,root,leaf_int_up,95,1002,2728,0.722047911107054,0.9991231910422403,9.481037924151696,1.0,False,-0.0
Vascular_WOX4,root,leaf_int_up,58,910,2728,0.4641856130541049,0.9999999998244545,6.373626373626373,1.0,False,-0.0
Xylem,root,leaf_int_up,82,1167,2728,0.513351515721496,0.9999999998581328,7.02656383890317,1.0,False,-0.0
Epidermis,root,leaf_int_down,138,1057,2793,1.0222410751062012,0.42154500988741456,13.055818353831599,1.0,False,-0.0
Exodermis,root,leaf_int_down,195,1405,2793,1.1031006050426584,0.11844397638171847,13.87900355871886,0.5668864322886705,False,0.24650393717497676
Cortex,root,leaf_int_down,248,1748,2793,1.136414931237721,0.04173825040463586,14.187643020594965,0.27547245267059667,False,0.5599218242216901
Cortex_ACT2,root,leaf_int_down,36,465,2793,0.5650410525274507,0.9998391938418247,7.741935483870968,1.0,False,-0.0
Endodermis,root,leaf_int_down,212,1396,2793,1.2354799103636764,0.004138241774644488,15.18624641833811,0.04201907032715942,True,1.376553560598584
Meristematic_Cortex,root,leaf_int_down,245,1723,2793,1.1394686166337047,0.03946293223198646,14.219384793964016,0.27416352919064274,False,0.561990318053836
Meristematic_Zone,root,leaf_int_down,84,1112,2793,0.5418815793442524,0.9999999967555332,7.553956834532374,1.0,False,-0.0
Phloem,root,leaf_int_down,232,1483,2793,1.2847649252718092,0.0005764484722453974,15.64396493594066,0.010870171190913209,True,1.9637636162924066
Vascular,root,leaf_int_down,161,1002,2793,1.3202873984871102,0.0012811590882767215,16.067864271457086,0.016911299965252723,True,1.771823007065989
Vascular_WOX4,root,leaf_int_down,141,910,2793,1.2599779933980193,0.009040755099008075,15.494505494505495,0.085241405219219,True,1.0693493994796286
Xylem,root,leaf_int_down,172,1167,2793,1.187032453377149,0.02598375901948364,14.738646101113968,0.19054756614288004,False,0.7199965940839813
Epidermis,root,root_light_up,4,1057,122,0.6635118386530816,0.8488620951791133,0.3784295175023652,1.0,False,-0.0
Exodermis,root,root_light_up,19,1405,122,2.6988469998178735,0.00029938430514787635,1.3523131672597866,0.00658645471325328,True,2.1813482899253813
Cortex,root,root_light_up,13,1748,122,1.3699442138381408,0.17971634361386898,0.7437070938215103,0.6777873530580202,False,0.16890653899282343
Cortex_ACT2,root,root_light_up,5,465,122,1.9698996655518395,0.12042730057199592,1.075268817204301,0.5668864322886705,False,0.24650393717497676
Endodermis,root,root_light_up,6,1396,122,0.7544281815926569,0.8013272321457229,0.4297994269340974,1.0,False,-0.0
Meristematic_Cortex,root,root_light_up,7,1723,122,0.7075909597648729,0.8575501139513916,0.4062681369704005,1.0,False,-0.0
Meristematic_Zone,root,root_light_up,2,1112,122,0.3086186186186186,0.9874961385394785,0.17985611510791366,1.0,False,-0.0
Phloem,root,root_light_up,13,1483,122,1.638407289521313,0.07182517817284007,0.8766014834794336,0.44375778274122657,False,0.3528540170986998
Vascular,root,root_light_up,1,1002,122,0.17059799704427803,0.9968509556673927,0.0998003992015968,1.0,False,-0.0
Vascular_WOX4,root,root_light_up,4,910,122,0.7766677891270999,0.7549953254805233,0.43956043956043955,1.0,False,-0.0
Xylem,root,root_light_up,5,1167,122,0.7540050311134648,0.7886731383793373,0.4284490145672665,1.0,False,-0.0
Epidermis,root,root_light_down,13,1057,176,1.5711045295348236,0.08715950106301901,1.2298959318826868,0.5002197452312395,False,0.3008391693113876
Exodermis,root,root_light_down,14,1405,176,1.2561617452583185,0.24593439245846824,0.99644128113879,0.8323933283209694,False,0.07967140934099659
Cortex,root,root_light_down,13,1748,176,0.9136153886953908,0.662852585792983,0.7437070938215103,1.0,False,-0.0
Cortex_ACT2,root,root_light_down,19,465,176,5.74270943417783,7.956905272347371e-09,4.086021505376344,5.251557479749265e-07,True,6.279711876680036
Endodermis,root,root_light_down,9,1396,176,0.7857694848227121,0.8017045917320397,0.6446991404011462,1.0,False,-0.0
Meristematic_Cortex,root,root_light_down,9,1723,176,0.6255773167783453,0.9435651384314826,0.522344747533372,1.0,False,-0.0
Meristematic_Zone,root,root_light_down,5,1112,176,0.5415563902227716,0.9494578042801886,0.44964028776978415,1.0,False,-0.0
Phloem,root,root_light_down,8,1483,176,0.6500403551251008,0.9180493106199723,0.5394470667565745,1.0,False,-0.0
