tissue,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,direction,stat,shrunk_log2FoldChange
leaf,195.8878003178,1.82248926181422,0.252055722977866,4.25722473890085e-14,1.82444724874343e-11,Solyc03g121180.3,up,,
leaf,614.259145045282,-1.41010485557452,0.192458576637306,4.6348248809806304e-14,1.9448883906815e-11,Solyc09g082630.3,down,,
leaf,19.6085917868337,3.49801860663283,0.529207686018959,5.9903185725693e-14,2.4623876875243e-11,Solyc01g073860.3,up,,
leaf,48.9419119965005,1.31552499842143,0.180587912134828,6.24472914088037e-14,2.51562668711225e-11,Solyc02g071920.3,up,,
leaf,394.302965303112,-1.94982401454441,0.275887766344462,9.3843964268003e-14,3.7062845652669e-11,Solyc07g007620.3,down,,
leaf,88.8240155482236,-1.76004776029883,0.246538675617559,9.85348369992365e-14,3.8167090131512e-11,Solyc11g068530.1,down,,
leaf,1779.23982689362,2.00516009619063,0.285519603794445,1.07877131896352e-13,4.0404055920548294e-11,Solyc03g119530.3,up,,
leaf,20.6777822214053,3.6115428115752,0.555428906292587,1.08321865738735e-13,4.0404055920548294e-11,Solyc10g078230.2,up,,
leaf,305.13273632087,-1.50680239143003,0.21048677757168,1.44535938516977e-13,5.29316886110718e-11,Solyc08g076060.3,down,,
leaf,17.514268529739,5.56692315804972,0.939005611018624,1.61400053042917e-13,5.805214050697189e-11,Solyc02g068580.1,up,,
leaf,103.014357001965,4.34141975458712,0.690960419746296,2.09979724701764e-13,7.292088991280909e-11,Solyc07g026650.3,up,,
leaf,176.717591903689,-2.21242729432889,0.323927397257518,2.09276678601532e-13,7.292088991280909e-11,Solyc10g005040.3,down,,
leaf,156.961530731575,-3.79548265260667,0.597557372230017,2.3758833722288e-13,7.923516493322509e-11,Solyc01g096320.3,down,,
leaf,53.642822032802,-3.52512088381458,0.551411912286796,2.39963512110353e-13,7.923516493322509e-11,Solyc03g120320.1,down,,
leaf,467.206949121866,1.60841912250252,0.228444543071961,2.84148590830856e-13,9.231162768572759e-11,Solyc02g067580.3,up,,
leaf,641.245789383097,-1.09437509406861,0.156370933734918,2.91369620170791e-13,9.31550299917471e-11,Solyc02g092160.3,down,,
leaf,531.039788870622,1.50339830285235,0.21344582773875,3.30109512587587e-13,1.02293320039064e-10,Solyc08g006760.3,up,,
leaf,48.7573660178294,-2.62795866244276,0.399957584690859,3.43409448169178e-13,1.0480231977308501e-10,Solyc10g078720.2,down,,
leaf,41.4573201096289,-2.99999299714184,0.466147284139479,3.70750048544696e-13,1.11457425041601e-10,Solyc04g005380.3,down,,
leaf,218.448435699055,2.32489179203477,0.347968337584001,4.00929814185956e-13,1.1715913658509e-10,Solyc08g066020.2,up,,
leaf,38.271032266516,1.31364923940342,0.187016306624996,4.0134944019319e-13,1.1715913658509e-10,Solyc11g006900.1,up,,
leaf,336.142074368558,2.57642516190897,0.393836777343584,4.78785295306326e-13,1.37767048829429e-10,Solyc04g076780.3,up,,
leaf,14.0853047836639,3.00638763319918,0.471041696316496,5.19122405035849e-13,1.45224492808779e-10,Solyc06g070990.3,up,,
leaf,72.6933172031708,-1.65199845041876,0.238065332194771,5.30592446613766e-13,1.46399904927321e-10,Solyc04g016210.3,down,,
leaf,645.482141476477,1.22711066968452,0.176638678557981,6.119923952443329e-13,1.64356677666818e-10,Solyc01g100370.3,up,,
leaf,58.7242253701806,1.67775456784787,0.244099457826991,7.93144418737776e-13,2.1020414318705602e-10,Solyc06g008450.3,up,,
leaf,23.1114487111423,-2.18001493535005,0.328241623931997,8.48465774093592e-13,2.21945423659651e-10,Solyc12g006000.1,down,,
leaf,802.225582013951,-2.96780345262626,0.470728370643289,9.20190059034998e-13,2.3762138678311403e-10,Solyc02g086530.3,down,,
leaf,92.4550595820687,1.41173424100559,0.204761180389328,1.00624301136214e-12,2.53346834185703e-10,Solyc10g079970.2,up,,
leaf,48.4623402534731,-1.90139077525219,0.281864349928485,1.0367101459885699e-12,2.57795256302492e-10,Solyc04g009910.3,down,,
leaf,136.674426566115,-1.7994360409669,0.265470320138048,1.1185965712161499e-12,2.74765513871166e-10,Solyc12g056750.2,down,,
leaf,52.643224988527,2.7845229571141,0.440265021748073,1.1808085150999899e-12,2.83240335789784e-10,Solyc02g090120.1,up,,
leaf,1579.10617588937,1.15926040618355,0.169800963893089,1.18122272894161e-12,2.83240335789784e-10,Solyc04g049350.3,up,,
leaf,1127.01324635363,-1.44952252876027,0.211489555102088,1.3039745609271598e-12,3.08995948308176e-10,Solyc05g006390.1,down,,
leaf,22.3149504082758,2.60614017946437,0.409544941631445,1.43083383334882e-12,3.31262701969104e-10,Solyc01g073830.1,up,,
leaf,485.093073405035,1.38582043193548,0.203499853822152,1.80601582552342e-12,4.1337239497378004e-10,Solyc07g005760.3,up,,
leaf,78.8449786291451,1.76567147776156,0.2635659378973,2.10070605292193e-12,4.75420464246669e-10,Solyc06g061170.3,up,,
leaf,139.203302686394,-1.37182728000374,0.202266416058889,2.1782639409975498e-12,4.87495469995252e-10,Solyc10g085920.2,down,,
leaf,219.917385393764,-1.5912363907946,0.235783892126619,2.22518104843047e-12,4.92523040411939e-10,Solyc06g076400.3,down,,
leaf,325.000167377233,3.98588788891372,0.671550086788798,2.44879041796399e-12,5.36125397811203e-10,Solyc08g078870.2,up,,
leaf,873.311464366077,4.588128567223,0.798483043430215,3.3943169847932598e-12,7.35143362448449e-10,Solyc08g080670.2,up,,
leaf,53.5438095934727,1.63692488426269,0.245410792672973,3.4629071409794397e-12,7.39427858225986e-10,Solyc04g015460.3,up,,
leaf,316.017251206637,1.55706574487702,0.232724661048549,3.4875209279847397e-12,7.39427858225986e-10,Solyc07g045350.3,up,,
leaf,536.768051160908,4.62926745298821,0.811647521486654,4.0115060252883495e-12,8.34748270322391e-10,Solyc07g008240.3,up,,
leaf,893.044381481339,1.16801961413162,0.17568605172155,4.0199872019299e-12,8.34748270322391e-10,Solyc09g090040.3,up,,
leaf,658.567477556411,2.66894981962884,0.432931334293037,4.33264444186435e-12,8.90491064775834e-10,Solyc12g100270.2,up,,
leaf,51.407237321262,-2.810579800247,0.460517322748126,4.55078310769618e-12,9.16618733552165e-10,Solyc01g097830.2,down,,
leaf,445.856540251976,2.80227995963925,0.459370126733165,4.7185342722524894e-12,9.409972011060361e-10,Solyc05g052670.1,up,,
leaf,155.427000295734,-1.36036915213724,0.204104790332254,4.77079939835955e-12,9.42092563546648e-10,Solyc04g078970.2,down,,
leaf,662.704984909353,-1.17585339806367,0.177650665537789,4.9858485303180005e-12,9.74999622307428e-10,Solyc12g005980.2,down,,
leaf,116.666983887124,-1.5558573255606,0.234831676357983,5.3998734166555596e-12,1.0458100995988101e-09,Solyc07g020790.3,down,,
leaf,2065.10668823802,-1.46249317429686,0.220268903097671,5.4842947173677395e-12,1.04779839173711e-09,Solyc01g103990.3,down,,
leaf,1169.75064415242,1.78465102038,0.272580173911575,5.51418079257936e-12,1.04779839173711e-09,Solyc12g096960.2,up,,
leaf,35.0186373144973,1.68690432661521,0.258315978260779,7.862844794224819e-12,1.45296715454382e-09,Solyc05g051583.1,up,,
leaf,379.809271282372,1.0454789185759,0.161486046460574,8.23912685342091e-12,1.4950675052396802e-09,Solyc01g098840.3,up,,
leaf,428.516350363215,-1.42795482815861,0.218255956079208,1.06081170191518e-11,1.9077561874978202e-09,Solyc09g018280.1,down,,
leaf,271.498124753835,-1.2958061322631,0.199128934254467,1.2858460878326299e-11,2.2718870088706e-09,Solyc01g081320.3,down,,
leaf,37.5403889803893,-1.54164349385294,0.238414954593602,1.5660118758093597e-11,2.74283575674366e-09,Solyc04g079080.2,down,,
leaf,81.9074755383463,1.20226039382344,0.18663232476611,1.67802670401897e-11,2.9136908510646604e-09,Solyc02g090200.3,up,,
leaf,30.6194952525848,1.39433304584375,0.215885874138999,1.8428486286009e-11,3.17253479292985e-09,Solyc06g069400.3,up,,
leaf,606.001585723375,3.18199243705323,0.554147162178992,2.0115390785744698e-11,3.40474118660899e-09,Solyc01g087850.2,up,,
leaf,2842.51054363993,-1.02262413470808,0.161789558899677,2.00921776529469e-11,3.40474118660899e-09,Solyc08g078510.3,down,,
leaf,165.00592002948,-1.65718613477709,0.259374785148282,2.099838860905e-11,3.5245795280290404e-09,Solyc04g072895.1,down,,
leaf,272.934524279202,-1.13668288843082,0.178648303828841,2.3290727099534298e-11,3.8770398780067805e-09,Solyc02g072000.3,down,,
leaf,52.3242755269707,-1.8338463215208,0.291463182919092,2.51923113417641e-11,4.15920930365421e-09,Solyc09g008640.1,down,,
leaf,155.503742703245,-1.38843236881177,0.216810728483862,2.61675456568432e-11,4.26849696211068e-09,Solyc04g080790.3,down,,
leaf,417.796884782464,1.85891736474867,0.296291506388974,2.6278106608168196e-11,4.26849696211068e-09,Solyc08g068390.3,up,,
leaf,951.353738113978,-2.20808796073377,0.362775915846895,2.8072021502310002e-11,4.506382937251551e-09,Solyc06g008760.1,down,,
leaf,1693.53694293619,2.50784490370504,0.422762290220874,2.8413793716162597e-11,4.506382937251551e-09,Solyc08g029000.3,up,,
leaf,41.7269910724307,-1.71675976450483,0.271566447001884,2.8278357407218498e-11,4.506382937251551e-09,Solyc12g042110.2,down,,
leaf,183.122395343416,-1.03435182773258,0.165028299723013,2.9410357362275e-11,4.627995453054241e-09,Solyc01g067280.3,down,,
leaf,19.3193374944696,-2.80414930225589,0.483991672357498,3.03445052567597e-11,4.737976937067091e-09,Solyc00g013170.1,down,,
leaf,43.8248850969549,-1.57880357696063,0.248648673978512,3.12986310509831e-11,4.84936174329924e-09,Solyc03g097320.3,down,,
leaf,947.94375816118,-2.37813271389064,0.398492926098097,3.37618465917888e-11,5.191077206502371e-09,Solyc05g006830.3,down,,
leaf,495.921648064964,1.35412288911411,0.212941866756799,3.4540219704510395e-11,5.27052352491098e-09,Solyc08g080140.3,up,,
leaf,436.219497509448,-1.10995541266961,0.176770022739627,3.61560001729605e-11,5.4755951540133104e-09,Solyc10g055680.1,down,,
leaf,89.1196303380955,-1.69425688654327,0.270133532120242,4.0820494818728295e-11,6.04563534293254e-09,Solyc08g066810.3,down,,
leaf,2332.73910462207,2.51573317505457,0.429992898963094,4.5371536390529295e-11,6.67060938670103e-09,Solyc02g071820.3,up,,
leaf,45.6216717365172,2.55538480685593,0.438447762686464,4.63591870027819e-11,6.766425685579951e-09,Solyc09g005730.3,up,,
leaf,422.077172329892,-1.72000367525506,0.276301261357971,5.1604109559628095e-11,7.424356962500211e-09,Solyc01g006720.3,down,,
leaf,533.471178107274,1.757454061962,0.284349194299462,6.214791844232329e-11,8.87789626429273e-09,Solyc03g006250.3,up,,
leaf,331.871051354054,-1.47909600595587,0.23631420359621,6.26302840302713e-11,8.883797048857211e-09,Solyc07g005210.3,down,,
leaf,343.735894927404,-1.75925250785264,0.284993366988064,6.48820072938097e-11,9.13883490148192e-09,Solyc01g097650.3,down,,
leaf,138.644344922016,-1.48988050177756,0.23881276999874,7.04011797514757e-11,9.847365017737672e-09,Solyc04g076340.3,down,,
leaf,465.905852883905,2.26771469930291,0.384339176698425,7.21068897869825e-11,1.00163929247545e-08,Solyc02g088345.1,up,,
leaf,1391.40277849697,2.67993872585236,0.471538402619558,7.818868245786749e-11,1.07289999392198e-08,Solyc01g109140.3,up,,
leaf,219.669700503057,1.13956285190873,0.184739749943236,7.8687616486615e-11,1.07289999392198e-08,Solyc09g089670.3,up,,
leaf,73.6280741627849,-2.48877387260734,0.431905990992332,8.2903605248292e-11,1.12070095094705e-08,Solyc11g056330.1,down,,
leaf,191.371546751326,1.85920515153011,0.305759002677802,8.760806812363939e-11,1.17640113876423e-08,Solyc02g068300.3,up,,
leaf,118.938419998474,2.16104782547877,0.364827628687332,8.86578820994298e-11,1.18261394784551e-08,Solyc01g096670.3,up,,
leaf,113.624470472058,3.18296674363061,0.581591182690141,9.292964155071479e-11,1.22339139876765e-08,Solyc02g085910.3,up,,
leaf,500.319876486176,1.05049145859393,0.172880940715214,1.01990039573781e-10,1.33395024486694e-08,Solyc09g011570.3,up,,
leaf,234.43656655725,-1.01971607468517,0.168586155031342,1.07389385189498e-10,1.38737750340588e-08,Solyc11g012850.2,down,,
leaf,62.5366874951802,-1.58379204630224,0.258080782326269,1.17126582152783e-10,1.50088266632317e-08,Solyc09g007860.3,down,,
leaf,4.06445398749722,-3.22580417170059,0.595770611449072,1.19661112064959e-10,1.51585793661158e-08,Solyc01g109690.1,down,,
leaf,156.373141151196,1.03944210635442,0.172032452739316,1.20428202135921e-10,1.51604052963858e-08,Solyc05g013810.3,up,,
leaf,4107.39024992866,1.89447580378938,0.316009967863009,1.33259628137213e-10,1.65686137650601e-08,Solyc04g074480.3,up,,
leaf,115.43996781352,-1.40249861465347,0.228736410788392,1.42359839252695e-10,1.75914839400477e-08,Solyc06g009370.3,down,,
leaf,122.689818514412,-2.95967762004605,0.542664389411263,1.54276300530271e-10,1.88329287592771e-08,Solyc03g005210.3,down,,
leaf,651.757885346437,-1.93871305806986,0.326225066810064,1.59889847287999e-10,1.94006102655112e-08,Solyc11g008250.2,down,,
leaf,137.243057565461,-2.94636259923097,0.541681154335171,1.71920013302355e-10,2.03715959378035e-08,Solyc01g079300.3,down,,
leaf,157.224906922635,-1.31891543719745,0.216314574030622,1.70164523931957e-10,2.03715959378035e-08,Solyc04g015200.3,down,,
leaf,14.0279636681083,-3.37166280952112,0.635431550975313,1.72130140307788e-10,2.03715959378035e-08,Solyc10g018510.2,down,,
leaf,222.351598455679,1.11666366865145,0.185511550163369,1.80761604226238e-10,2.116802460654e-08,Solyc02g093410.3,up,,
leaf,518.612290731103,-1.65022054660508,0.273508637248574,1.94881957448945e-10,2.26896669765124e-08,Solyc09g072580.3,down,,
leaf,21.4095126887677,2.19909364733314,0.381377018562317,1.99447909815103e-10,2.30878149396311e-08,Solyc10g086620.2,up,,
leaf,260.414279580592,-3.35947592097629,0.63817456979295,2.1890787543928902e-10,2.51956710119895e-08,Solyc06g067980.3,down,,
leaf,817.235649022116,-1.75561279835641,0.294093369862316,2.26329064522093e-10,2.59018182818409e-08,Solyc04g081900.3,down,,
leaf,124.421522221611,-1.65538630815046,0.275747673818811,2.31408163757803e-10,2.63334646011845e-08,Solyc09g072860.2,down,,
leaf,850.8519594325,-1.14870338552901,0.191941163313404,2.44492334597449e-10,2.76660932778754e-08,Solyc06g051930.3,down,,
leaf,410.684839723867,1.19533161875011,0.19968272469293,2.7281598394147103e-10,3.06986566958051e-08,Solyc12g013690.2,up,,
leaf,29.4558327066216,2.78887498041438,0.515117978783146,2.77859647464913e-10,3.10924945513238e-08,Solyc07g052203.1,up,,
leaf,6.71200255743204,2.92589651359653,0.546324461056587,2.843635067031e-10,3.1470603033043e-08,Solyc12g056700.2,up,,
leaf,1299.104240613,-1.13617568500433,0.190906747362119,2.8701894057089e-10,3.15909043769337e-08,Solyc02g081170.3,down,,
leaf,11.6035906919758,2.28659455139133,0.405148944917135,3.06613955766296e-10,3.35642298752431e-08,Solyc03g007410.3,up,,
leaf,169.317511779378,2.96044038323555,0.5558077319309,3.10955215538433e-10,3.38554591966222e-08,Solyc07g054780.1,up,,
leaf,33.3563545650168,-2.06755888350393,0.359170237536103,3.22230861524968e-10,3.46628539001458e-08,Solyc11g042630.2,down,,
leaf,104.360393279052,1.78639755833093,0.302914047335188,3.21941940238233e-10,3.46628539001458e-08,Solyc12g010570.1,up,,
leaf,272.362633621072,-1.90708575610035,0.32655157987485,3.23533737127763e-10,3.46628539001458e-08,Solyc12g013650.2,down,,
leaf,1072.19333243699,-1.93373297275397,0.332116661243413,3.31634307524231e-10,3.53427419161537e-08,Solyc04g007800.3,down,,
leaf,956.491454127585,-1.19895134724958,0.201396247340969,3.34025532710673e-10,3.54102225255704e-08,Solyc01g081310.3,down,,
leaf,297.409550455699,2.90201766148798,0.544763165894816,3.49131044705758e-10,3.68177879710124e-08,Solyc04g080540.2,up,,
leaf,794.329610479705,-1.45001746706758,0.242702115036441,3.59558876407262e-10,3.77199733780994e-08,Solyc03g097370.3,down,,
leaf,1157.51272814724,-1.95577541729902,0.338041541268837,3.8504702897463403e-10,4.01845453762025e-08,Solyc02g086970.3,down,,
leaf,477.290056274453,-1.55452072003421,0.261695309917231,3.98940884203374e-10,4.14199344825998e-08,Solyc10g006970.3,down,,
leaf,8.99765619690855,2.07050383126897,0.362720968203915,4.22282679124013e-10,4.33960087903871e-08,Solyc10g075010.1,up,,
leaf,17.3127866197956,3.57036330761962,0.70409336974513,4.37205062472478e-10,4.45974114497409e-08,Solyc05g047580.3,up,,
leaf,376.938523356592,-2.01952872353303,0.352477063699927,4.38401721132395e-10,4.45974114497409e-08,Solyc10g085620.2,down,,
leaf,174.330632512274,-1.05329357861454,0.180635495340272,4.43227983820072e-10,4.48617992467532e-08,Solyc01g068060.3,down,,
leaf,1136.84580773819,-3.19017012100809,0.615953709114936,4.47782664700006e-10,4.50961921619376e-08,Solyc08g007130.3,down,,
leaf,264.958867044496,-1.24742191286744,0.212310525153698,5.77093410096437e-10,5.69794875792276e-08,Solyc11g065740.2,down,,
leaf,208.870931994896,-1.70149641809536,0.292066112964468,5.99954418010953e-10,5.8947716524764e-08,Solyc12g099430.2,down,,
leaf,781.398668431058,-1.35478254325577,0.230161662512907,6.055971035439e-10,5.92132857261225e-08,Solyc01g090790.3,down,,
leaf,76.4223869995642,1.19186433263554,0.20437015592534,6.65474876627021e-10,6.44422834856801e-08,Solyc04g007350.3,up,,
leaf,3062.77003230698,-1.12872299245866,0.195067211427899,7.33314429260046e-10,7.03353296864565e-08,Solyc04g051800.3,down,,
leaf,408.085366000215,-3.0970442825871,0.605279047282697,7.30716770768539e-10,7.03353296864565e-08,Solyc12g006050.2,down,,
leaf,110.330671104234,-1.29083660193899,0.221154991053429,7.65918844019674e-10,7.31143950532904e-08,Solyc11g020040.2,down,,
leaf,42.794002622062,-2.61667075249315,0.4934638869474,7.84876587080473e-10,7.45706802687494e-08,Solyc08g036520.2,down,,
leaf,50.6852165538769,-2.61714557637561,0.494209698674339,8.14414096669375e-10,7.70137499301153e-08,Solyc07g066360.1,down,,
leaf,118.746427065335,2.6272874883557,0.496985148684207,8.33320061985431e-10,7.80685241326072e-08,Solyc11g072930.2,up,,
leaf,564.438687468261,1.52723507175669,0.26313019874188,9.110436977267511e-10,8.44990790763265e-08,Solyc07g008620.1,up,,
leaf,38.1501863479894,1.41234268961097,0.242830139799099,9.14546680500406e-10,8.44990790763265e-08,Solyc08g006080.1,up,,
leaf,204.91557542373,-1.13374281676477,0.197145435183181,9.11300139641444e-10,8.44990790763265e-08,Solyc11g066080.1,down,,
leaf,179.761853155265,-1.77729801285814,0.311136056176669,9.66278394781205e-10,8.85020405024079e-08,Solyc02g032100.3,down,,
leaf,219.775811824213,1.93872090541793,0.34408708391853,9.666591654517802e-10,8.85020405024079e-08,Solyc03g113940.3,up,,
leaf,84.4681383358268,-1.3965819067012,0.240652050062528,9.851302026770091e-10,8.97850341281462e-08,Solyc00g009140.3,down,,
leaf,92.6834964275922,2.03354186000122,0.364656500117354,1.00443169899523e-09,9.07231537271836e-08,Solyc03g006360.3,up,,
leaf,112.301560745873,1.23278843309555,0.21357719657294,1.01757484044238e-09,9.14999662329925e-08,Solyc04g007340.3,up,,
leaf,28.1560822025542,-2.07781303642516,0.374605119646361,1.03458728185628e-09,9.26162534717742e-08,Solyc04g082940.3,down,,
leaf,1059.50723877481,2.89729428934131,0.565924176940097,1.06766117071983e-09,9.51541207992866e-08,Solyc04g040130.1,up,,
leaf,483.846985054199,-1.41181163296933,0.243937918187487,1.07688335326282e-09,9.55532356890737e-08,Solyc07g053010.2,down,,
leaf,6.33164605268355,-3.43560051112418,0.699623249426601,1.17746390499617e-09,1.0401964023874e-07,Solyc02g086960.2,down,,
leaf,58.0750096122439,-1.77369593522974,0.312378478199715,1.1847305907812802e-09,1.04204557028457e-07,Solyc07g062740.3,down,,
leaf,97.8142621395425,1.38925572119847,0.241076827923788,1.2406015640421202e-09,1.08644333491027e-07,Solyc11g020610.2,up,,
leaf,230.166948079567,1.36328302358121,0.237573851332728,1.41501435752877e-09,1.21800082005746e-07,Solyc10g084325.1,up,,
leaf,11.1785964592543,2.26842913339535,0.421726875019312,1.4333174589591802e-09,1.22850554290876e-07,Solyc05g014150.3,up,,
leaf,158.747955440918,-2.19153906994902,0.405282633494252,1.5619431045239302e-09,1.33307872929326e-07,Solyc08g061250.3,down,,
leaf,32.8615139230153,2.634822304484,0.511459580745027,1.6791179000669802e-09,1.42703766848731e-07,Solyc03g096660.2,up,,
leaf,358.825269804386,-1.10100645831692,0.195797108102144,1.6964104081452602e-09,1.43403279793133e-07,Solyc01g087020.2,down,,
leaf,40.8719635297347,-2.88279272174666,0.572473285260339,1.7015879193009e-09,1.43403279793133e-07,Solyc01g087180.3,down,,
leaf,2819.56729094297,-1.78764570277105,0.318887493654247,1.7183772687666e-09,1.44214812281237e-07,Solyc09g091030.3,down,,
leaf,22.1234986402217,2.72703489622058,0.536585003664762,1.91371201739474e-09,1.58625462775164e-07,Solyc09g008750.1,up,,
leaf,50.3789087096118,1.14142766222637,0.203512561085442,2.0671847787127602e-09,1.69257056149725e-07,Solyc05g053000.1,up,,
leaf,274.637354147346,1.01878656058793,0.183984947324174,2.0862658715986404e-09,1.70127802371416e-07,Solyc04g007150.3,up,,
leaf,415.601184277295,-2.31595686581634,0.439058828786872,2.17203578124324e-09,1.75699376328519e-07,Solyc02g088240.3,down,,
leaf,19.4920333418116,-4.41167390088325,1.00410079308468,2.2852074044037903e-09,1.84114590158005e-07,Solyc03g025810.3,down,,
leaf,31.0408311725824,2.04978494425369,0.378699749977392,2.3669833344360404e-09,1.85873199146177e-07,Solyc04g082380.3,up,,
leaf,280.849322327501,1.33756120405982,0.236852328228988,2.3233200126369704e-09,1.85873199146177e-07,Solyc05g011980.3,up,,
leaf,70.7727322643472,-2.43741759928505,0.469771507799143,2.3872338109058302e-09,1.85873199146177e-07,Solyc07g032490.3,down,,
leaf,7.82572834382423,2.10970657782693,0.392126031440268,2.34469560560512e-09,1.85873199146177e-07,Solyc07g056610.2,up,,
