tissue,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,direction,stat,shrunk_log2FoldChange
leaf,305.077887440752,2.13909995345165,0.191044283651702,1.4053830935925899e-30,2.8307226271142e-26,Solyc09g098110.3,up,,
leaf,377.791434378002,-3.22515956580191,0.31764811692474,7.86894719798371e-27,5.28321114872626e-23,Solyc02g084980.3,down,,
leaf,2721.86989461055,2.32630597360117,0.229445309364011,6.4040104398971e-26,3.22473945701019e-22,Solyc01g005470.3,up,,
leaf,4904.58993368971,-1.74686525281039,0.170133102361275,1.1702515261624802e-25,4.71424124799294e-22,Solyc06g050980.3,down,,
leaf,1684.74282090619,2.10310003673014,0.219571736219109,3.6891260429435204e-23,1.23843961261614e-19,Solyc09g075420.3,up,,
leaf,47.7197665064997,-4.28210281107831,0.482273377175052,7.58301829427042e-22,2.18195934975993e-18,Solyc04g072700.3,down,,
leaf,106.145771364566,4.97894035075099,0.578604289748322,4.13208061951428e-21,1.04035459797821e-17,Solyc07g052370.3,up,,
leaf,10.6299692470311,2.63083413416224,0.307124153350784,7.266604006523491e-20,1.62626597665996e-16,Solyc10g085500.2,up,,
leaf,90.1807946129873,-3.75283747807329,0.452810696832644,1.7434322080942202e-19,3.51162115354337e-16,Solyc00g013160.2,down,,
leaf,118.565090565572,1.85684714705021,0.214243968190783,3.70781026299941e-19,6.789337665212189e-16,Solyc04g011767.1,up,,
leaf,253.368675701368,1.05267966979401,0.122380728051906,8.775783245303e-19,1.3597063548222501e-15,Solyc03g113960.3,up,,
leaf,28.4671324832395,-2.2856508436328,0.271984032206751,8.51273720281816e-19,1.3597063548222501e-15,Solyc11g010130.2,down,,
leaf,370.053016727679,-1.53856230434929,0.180440097416324,2.7940890354619898e-18,4.019895810876811e-15,Solyc07g053270.3,down,,
leaf,125.520662965004,-1.69425802079094,0.20060313439265,3.97970532271531e-18,5.343948307342121e-15,Solyc04g058160.2,down,,
leaf,543.043359698635,1.23352318549975,0.147205895725296,1.0523218056541e-17,1.3247416130928e-14,Solyc04g007060.3,up,,
leaf,24.5979989846654,-1.97705825290225,0.242450014822803,1.97188939119678e-17,2.3363409480873903e-14,Solyc05g053380.3,down,,
leaf,327.068278898715,4.07573498876561,0.542948895856253,6.5564778081175e-17,6.28859885767156e-14,Solyc07g042510.3,up,,
leaf,459.638789956751,-2.01793381938925,0.254767754469586,1.15352932234655e-16,1.0561085277592799e-13,Solyc07g054145.1,down,,
leaf,522.027901929482,2.92643434873625,0.388589677865281,1.7694313906738002e-16,1.54956030743268e-13,Solyc02g077240.3,up,,
leaf,413.328921561754,-1.53113581495404,0.191145682791304,2.09351039345808e-16,1.75697859770969e-13,Solyc09g055940.3,down,,
leaf,1216.52900192902,2.06442067866013,0.26429230070986,2.36054239427258e-16,1.90184179621753e-13,Solyc00g272810.1,up,,
leaf,33.3895977770437,3.54688903528387,0.483292325528589,3.46004294016402e-16,2.68046865003015e-13,Solyc03g095780.2,up,,
leaf,154.084857314083,2.22604851490112,0.290057183971613,3.9709047831774497e-16,2.9622949682503797e-13,Solyc04g076220.3,up,,
leaf,346.672286524856,-1.41251136105279,0.178893932586159,5.98519390320942e-16,4.30549198565872e-13,Solyc07g055260.3,down,,
leaf,187.991501553397,1.58626112839421,0.201947608841271,6.57714139218769e-16,4.5044352225965697e-13,Solyc04g007170.3,up,,
leaf,158.231995642765,2.30208622046988,0.30396244704779,6.70901880041193e-16,4.5044352225965697e-13,Solyc04g011750.3,up,,
leaf,52.8529815763072,-3.27870641109616,0.454026911222029,1.07141418153234e-15,6.74388263888264e-13,Solyc07g045145.1,down,,
leaf,846.1064263953,-2.57806234188114,0.348373191623727,1.06767299107175e-15,6.74388263888264e-13,Solyc09g092480.2,down,,
leaf,135.693094745261,-2.5229794815992,0.342136131213697,1.5206541016596801e-15,9.28151967140283e-13,Solyc06g075650.3,down,,
leaf,65.5219549004153,2.22216707225644,0.299335415113157,2.75022749935056e-15,1.62926712623291e-12,Solyc07g008550.3,up,,
leaf,422.000468083034,1.2744560174872,0.165792020926823,2.9483060633625e-15,1.64957724245132e-12,Solyc02g080410.3,up,,
leaf,284.488229679232,-1.20917400710816,0.157525167035211,2.8724070529574303e-15,1.64957724245132e-12,Solyc05g005000.3,down,,
leaf,1204.48549458815,-1.62769790964181,0.212893386581511,3.1001657630081002e-15,1.68766321077052e-12,Solyc03g095650.3,down,,
leaf,92.8969115933485,-3.2174429448625,0.459080076154022,5.342869422430981e-15,2.83200199754223e-12,Solyc02g062590.3,down,,
leaf,531.792484748885,1.26564819089016,0.166565089024398,5.74046013854307e-15,2.9647268746290897e-12,Solyc08g075710.3,up,,
leaf,262.130148646137,-1.3541559884672,0.180285310159792,1.18581700445104e-14,5.97118152591323e-12,Solyc07g006760.3,down,,
leaf,78.5883044463857,3.01663851004392,0.436604135167835,1.445527075493e-14,7.101416184043899e-12,Solyc08g021820.3,up,,
leaf,145.620794913834,-1.49639388022672,0.20167269351659,2.1593037903183702e-14,1.03554040344268e-11,Solyc06g068440.3,down,,
leaf,275.851561952034,1.97486545671991,0.272452045657658,2.32829642227928e-14,1.0906173613383499e-11,Solyc08g083280.3,up,,
leaf,10.9537809221496,-4.5317959186764,0.693688021998141,3.56552554044235e-14,1.63220035080886e-11,Solyc09g011700.1,down,,
leaf,77.8701416077893,-4.11139332275417,0.623780526202899,3.80856364423869e-14,1.70471308716124e-11,Solyc03g007790.3,down,,
leaf,112.494679106961,1.43010817273075,0.194784009809388,4.0991955128196e-14,1.7949129569394e-11,Solyc08g065320.3,up,,
