"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Metabolism","Carbohydrate metabolism","sly00650","Butanoate metabolism","1/6","29/11892",0.0344827586206897,68.3448275862069,8.15779769248709,0.0145458116518044,0.0436374349554131,0.0102075871240732,"101259235",1,"leaf_light_Proliferating_down"
"Metabolism","Amino acid metabolism","sly00250","Alanine, aspartate and glutamate metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0448490638089414,0.0104910090781149,"101259235",1,"leaf_light_Proliferating_down"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0448490638089414,0.0104910090781149,"778254",1,"leaf_light_Proliferating_down"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0448490638089414,0.0104910090781149,"101259235",1,"leaf_light_Proliferating_down"
"Metabolism","Nucleotide metabolism","sly00230","Purine metabolism","1/6","96/11892",0.0104166666666667,20.6458333333333,4.34215819455661,0.0474786462562361,0.0610439737580179,0.0142792921071387,"101251456",1,"leaf_light_Proliferating_down"
"Metabolism","Lipid metabolism","sly00592","alpha-Linolenic acid metabolism","2/6","52/11892",0.0384615384615385,76.2307692307692,12.2148538460151,0.000278174064954326,0.000834522194862978,NA,"543763/544306",2,"leaf_light_Trichome_up"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","2/6","437/11892",0.0045766590389016,9.07093821510298,3.86219454584164,0.0183185308513695,0.0190240105945912,NA,"101055552/101268443",2,"leaf_light_Trichome_up"
"Metabolism","Lipid metabolism","sly00100","Steroid biosynthesis","1/6","38/11892",0.0263157894736842,52.1578947368421,7.0964141406446,0.0190240105945912,0.0190240105945912,NA,"101252433",1,"leaf_light_Trichome_up"
"Genetic Information Processing","Folding, sorting and degradation","sly04120","Ubiquitin mediated proteolysis","3/10","151/11892",0.0198675496688742,23.6264900662252,8.1174109762999,0.000225586237018756,0.00315820731826258,0.00189967357489478,"101266538/101249087/101265499",3,"leaf_light_Uncharacterized_up"
"Genetic Information Processing","Chromosome","sly03083","Polycomb repressive complex","2/10","61/11892",0.0327868852459016,38.9901639344262,8.62958227074976,0.00113428444830179,0.00793999113811255,0.00477593451916544,"101249087/101265499",2,"leaf_light_Uncharacterized_up"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","3/10","437/11892",0.0068649885583524,8.16384439359268,4.42643133069565,0.00487596914445681,0.0227545226741318,0.0136869309318086,"101263827/101055552/101256434",3,"leaf_light_Uncharacterized_up"
"Genetic Information Processing","Folding, sorting and degradation","sly04141","Protein processing in endoplasmic reticulum","2/10","219/11892",0.0091324200913242,10.8602739726027,4.27252106274554,0.0137825706554139,0.0448473133933828,0.0269758276050423,"101249087/101265499",2,"leaf_light_Uncharacterized_up"
"Organismal Systems","Environmental adaptation","sly04626","Plant-pathogen interaction","2/10","237/11892",0.00843881856540084,10.0354430379747,4.07597866349677,0.0160168976404939,0.0448473133933828,0.0269758276050423,"112940015/101256434",2,"leaf_light_Uncharacterized_up"
"Genetic Information Processing","Information processing in viruses","sly03250","Viral life cycle - HIV-1","1/10","38/11892",0.0263157894736842,31.2947368421053,5.42613927395333,0.0315104195260651,0.0735243122274853,0.0442251502120213,"778289",1,"leaf_light_Uncharacterized_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","2/3","193/11892",0.0103626943005181,41.0777202072539,8.91670598016359,0.000777732859094984,0.00388866429547492,0.00163733233493681,"101255501/101251432",2,"leaf_light_Vascular_down"
