solyc_nover,leaf_light_lfc,leaf_light_padj,leaf_int_lfc,leaf_int_padj,root_light_lfc,root_light_padj,root_int_lfc,root_int_padj,Mesophyll,Epidermis,Vascular,Trichome,Proliferating,Uncharacterized
Solyc01g005000,1.17100937677662,0.0004764073798684,-1.59399703091839,0.0019774397515052,-0.0130471019342702,0.999960910744343,0.0005646561288754,0.999973171687554,0.00104953717,0.001254238295,0.0008184161,0.002284174,0.00087707915,0.18387903
Solyc01g005010,0.548333989009227,0.0629195064276371,-0.524813990317165,0.168607437214955,-0.0181367560688763,0.855470924874342,2.16191782348143e-05,0.999973171687554,0.0193813872,0.00446803745,0.0062921694,0.017313004,0.004712772,0.024962671
Solyc01g005020,-0.363851355766503,0.0134834810363566,0.441617134127398,0.0327532672335437,-0.0039213931631173,0.94636874898744,0.0008654342491482,0.999973171687554,0.0450185852,0.030989563249999998,0.032654095,0.034461994,0.021955384,0.02894328
Solyc01g005060,-0.509694381123824,0.0983197458326,0.419538658249028,0.267878601316906,-0.0032552929313644,0.999960910744343,-0.0001748290843528,0.999973171687554,0.005195987264,0.006115952575000001,0.005317358,0.0966335,0.0242414,0.040280037
Solyc01g005080,0.174159508677933,0.505301995373778,-0.0509728984715001,0.895032682697592,-0.0011169808855885,0.999960910744343,0.0001162572526341,0.999973171687554,0.0325377273,0.01882305615,0.026712885,0.057203792,0.012790793,0.030434353
Solyc01g005100,0.374202066779846,0.112649556982345,-0.419204307438058,0.188650908896338,-0.0044046368311744,0.999960910744343,4.98165594610522e-05,0.999973171687554,0.01290943236,0.00804061155,0.009866024,0.010010401,0.00635819,0.009685934
Solyc01g005110,0.384363222289841,0.0588627015905916,-0.731258150838911,0.0164408102794383,-0.0076177192704421,0.999960910744343,7.84903360286231e-06,0.999973171687554,0.052298562400000005,0.07131005775,0.018129885,0.043671038,0.03192007,0.03642642
Solyc01g005140,0.107674382534641,0.759266027325504,-0.0898188387562897,0.845234919355553,0.311305823296589,0.261304162663426,-0.0007416076693469,0.999973171687554,0.0078498025,0.02380763075,0.033939973,0.027912954,0.011001607,0.07950225
Solyc01g005210,-0.0742290932771436,0.757703601084137,0.0888256194888667,0.787728897987307,0.0307645443356468,0.905848285237545,-5.55854276138789e-05,0.999973171687554,0.043409078000000004,0.0242431334,0.025482295,0.076343454,0.02429239,0.44750172
Solyc01g005220,0.156637244861368,0.504161509033712,-0.0370493301387074,0.918942635443082,0.0158528428894987,0.999960910744343,-0.0001757193593644,0.999973171687554,0.171171638,0.1709270475,0.19582915,0.17379797,0.28302553,0.046931867
Solyc01g005240,-0.217323825871408,0.372165737710235,0.40184470275355,0.224388222464623,-0.0026390274323975,0.999960910744343,8.34396818711167e-05,0.999973171687554,0.06308650619999999,0.03484456875,0.03310726,0.0768019,0.01235928,0.059917312
Solyc01g005280,-1.24201167757955,0.0238095193617251,1.1684144568134,0.0779466804437046,-0.0144674590461569,0.999960910744343,0.0009549345674955,0.999973171687554,0.00102566258,0.002765503725,0.00049439725,0.000514788,0.0,0.0
Solyc01g005290,,,,,0.001492584124899,0.999960910744343,-0.0046688565811032,0.999973171687554,0.004465153380000001,0.0023682858925,0.0012163222,0.0021965806,0.0007180236,0.0072355866
Solyc01g005310,-0.572138695577734,0.0282496877856782,0.414948702007946,0.210356376096551,-0.0040450143592999,0.999960910744343,-3.37635338310506e-05,0.999973171687554,,,,,,
Solyc01g005340,0.58787758202878,0.0194473617770889,-0.793889382649448,0.0297085065460255,0.0375848381908284,0.709240571678298,0.0001175341678121,0.999973171687554,0.034183402200000004,0.04094545025,0.033365503,0.031126281,0.03188332,0.01588735
Solyc01g005390,0.129327712685835,0.722135128696919,0.413290073736448,0.374588762891762,0.0332314088910374,0.984315621667116,-0.0307757799723373,0.637502446914322,0.11173130540000001,0.22157794725,0.13558376,0.108710825,0.25092468,0.0025764417
Solyc01g005400,1.68017964989126,0.0005839371813248,-1.00257147651122,0.0806150850084166,-0.0070233531381363,0.999960910744343,-0.0028817887100836,0.999973171687554,0.00067622185,0.00064111824,0.0005711925,0.024698703,0.0027728279,0.14474638
Solyc01g005430,-0.793763327716443,0.0020860591127924,1.5406066201832,0.0001308918279071,0.0296496559628695,0.808892055967492,-0.0036152187445099,0.89795683830812,0.397582772,0.7382839175,0.40383905,0.16230868,1.3848203,0.1294233
Solyc01g005460,0.251109411274214,0.302436477503388,-0.0998870984571393,0.771620950308849,-0.0022742044686973,0.999960910744343,-0.0001833921165868,0.999973171687554,0.0060774075599999994,0.00582347815,0.006228246,0.04589363,0.0032798143,0.0059670513
